,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Distancia_NEW
10911,Yarraville,9 Stanger St,3,h,796000.0,S,Greg,14/05/2016,7.0,3013.0,3.0,1.0,1.0,464.0,120.0,1960.0,Maribyrnong City Council,-37.8151,144.8638,Western Metropolitan,6543.0,15.367722320931252
10913,Yarraville,27 Buninyong St,3,h,1217500.0,PI,Greg,15/10/2016,7.0,3013.0,3.0,3.0,1.0,217.0,,2016.0,Maribyrnong City Council,-37.8188,144.8884,Western Metropolitan,6543.0,13.163382526603982
10915,Yarraville,1a Kingston St,2,h,610000.0,SP,Jas,15/10/2016,7.0,3013.0,2.0,0.0,0.0,94.0,,,Maribyrnong City Council,-37.815,144.8827,Western Metropolitan,6543.0,13.744037130054876
10916,Yarraville,64 Bishop St,3,h,1055000.0,S,hockingstuart,16/04/2016,7.0,3013.0,3.0,1.0,3.0,670.0,116.0,1940.0,Maribyrnong City Council,-37.8134,144.8745,Western Metropolitan,6543.0,14.487528269031534
10917,Yarraville,4/16 Dean St,3,t,620000.0,VB,iOne,16/04/2016,7.0,3013.0,3.0,3.0,1.0,0.0,141.0,2014.0,Maribyrnong City Council,-37.8194,144.8826,Western Metropolitan,6543.0,13.650910893569291
10918,Yarraville,117 Francis St,4,h,660000.0,PI,Sweeney,16/04/2016,7.0,3013.0,4.0,1.0,2.0,360.0,,1910.0,Maribyrnong City Council,-37.8212,144.8887,Western Metropolitan,6543.0,13.08587963833887
10919,Yarraville,342 Francis St,3,h,681000.0,S,Sweeney,16/04/2016,7.0,3013.0,2.0,1.0,1.0,446.0,,,Maribyrnong City Council,-37.8183,144.8666,Western Metropolitan,6543.0,15.057772597253848
10920,Yarraville,5/69 Hamilton St,1,u,345000.0,S,hockingstuart/Village,16/04/2016,7.0,3013.0,1.0,1.0,1.0,0.0,47.0,1970.0,Maribyrnong City Council,-37.8111,144.887,Western Metropolitan,6543.0,13.482230299736454
10922,Yarraville,25 Norfolk St,3,h,950000.0,SP,Village,16/04/2016,7.0,3013.0,3.0,1.0,2.0,240.0,84.0,1880.0,Maribyrnong City Council,-37.8202,144.8896,Western Metropolitan,6543.0,13.02900839466745
10923,Yarraville,9 Pearce St,3,h,955000.0,S,Jellis,16/04/2016,7.0,3013.0,3.0,1.0,1.0,202.0,,,Maribyrnong City Council,-37.8196,144.8839,Western Metropolitan,6543.0,13.534316706181096
10924,Yarraville,11 Sanderson St,2,h,822000.0,S,Sweeney,16/04/2016,7.0,3013.0,2.0,1.0,3.0,539.0,,,Maribyrnong City Council,-37.8152,144.8703,Western Metropolitan,6543.0,14.805197283035628
10926,Yarraville,71 Bena St,2,h,760000.0,S,Jas,16/07/2016,7.0,3013.0,3.0,1.0,1.0,472.0,,,Maribyrnong City Council,-37.824,144.8805,Western Metropolitan,6543.0,13.745272463626785
10927,Yarraville,29 Frederick St,4,h,1200000.0,S,Village,16/07/2016,7.0,3013.0,4.0,2.0,2.0,417.0,157.0,1900.0,Maribyrnong City Council,-37.8197,144.8969,Western Metropolitan,6543.0,12.410410422080027
10929,Yarraville,59 Gent St,3,h,1005000.0,S,Sweeney,16/07/2016,7.0,3013.0,3.0,1.0,1.0,438.0,115.0,1960.0,Maribyrnong City Council,-37.8177,144.8711,Western Metropolitan,6543.0,14.680866862747585
10930,Yarraville,282 Hyde St,3,h,600000.0,VB,hockingstuart,16/07/2016,7.0,3013.0,4.0,1.0,1.0,0.0,,,Maribyrnong City Council,-37.8222,144.8956,Western Metropolitan,6543.0,12.46832135405855
10931,Yarraville,103/58 Ballarat St,1,u,381000.0,S,Sweeney,17/09/2016,7.0,3013.0,1.0,1.0,1.0,0.0,,,Maribyrnong City Council,-37.8184,144.8904,Western Metropolitan,6543.0,13.000223434079023
10933,Yarraville,136 Hyde St,4,h,1150000.0,S,hockingstuart,17/09/2016,7.0,3013.0,4.0,2.0,2.0,482.0,,,Maribyrnong City Council,-37.815,144.8968,Western Metropolitan,6543.0,12.537538133270015
10935,Yarraville,14 Lennox St,3,h,1020000.0,PI,Jas,18/03/2017,7.0,3013.0,3.0,1.0,1.0,248.0,,,Maribyrnong City Council,-37.8157,144.8925,Western Metropolitan,6543.0,12.886357026666149
10936,Yarraville,55 Ofarrell St,3,h,1250000.0,VB,Village,18/03/2017,7.0,3013.0,3.0,2.0,1.0,249.0,,,Maribyrnong City Council,-37.8099,144.8859,Western Metropolitan,6543.0,13.610978850618741
10939,Yarraville,7 Stewart St,4,h,1340000.0,VB,Village,18/03/2017,7.0,3013.0,4.0,2.0,0.0,297.0,175.0,1900.0,Maribyrnong City Council,-37.8108,144.888,Western Metropolitan,6543.0,13.406075807739636
10941,Yarraville,52 Severn St,3,h,865000.0,SP,Jas,18/06/2016,7.0,3013.0,3.0,1.0,1.0,189.0,87.0,1930.0,Maribyrnong City Council,-37.8159,144.8795,Western Metropolitan,6543.0,13.996961651062062
10942,Yarraville,347 Williamstown Rd,3,h,781500.0,S,Jas,18/06/2016,7.0,3013.0,2.0,1.0,2.0,341.0,132.0,1950.0,Maribyrnong City Council,-37.8224,144.8818,Western Metropolitan,6543.0,13.660640107346653
10943,Yarraville,15 Ofarrell St,4,h,1401000.0,S,Village,19/11/2016,7.0,3013.0,4.0,1.0,1.0,306.0,133.0,1910.0,Maribyrnong City Council,-37.8102,144.8885,Western Metropolitan,6543.0,13.381545132904805
10944,Yarraville,2/382 Williamstown Rd,2,h,630000.0,S,Jas,19/11/2016,7.0,3013.0,2.0,2.0,2.0,168.0,121.0,2000.0,Maribyrnong City Council,-37.8225,144.8814,Western Metropolitan,6543.0,13.693525909429926
10946,Yarraville,129 Roberts St,5,h,1137500.0,S,hockingstuart,22/05/2016,7.0,3013.0,2.0,3.0,4.0,446.0,244.0,1950.0,Maribyrnong City Council,-37.8146,144.8692,Western Metropolitan,6543.0,14.913850177073803
10948,Yarraville,198 Francis St,4,h,925000.0,S,hockingstuart,22/08/2016,7.0,3013.0,4.0,1.0,1.0,288.0,,,Maribyrnong City Council,-37.8202,144.88299999999998,Western Metropolitan,6543.0,13.599607057733802
10950,Yarraville,18 Frederick St,3,h,745000.0,S,hockingstuart,23/04/2016,7.0,3013.0,2.0,1.0,1.0,325.0,,,Maribyrnong City Council,-37.8195,144.8973,Western Metropolitan,6543.0,12.380595515546416
10951,Yarraville,2 Hood St,4,h,1158000.0,S,Jas,23/04/2016,7.0,3013.0,4.0,1.0,3.0,411.0,96.0,1910.0,Maribyrnong City Council,-37.8117,144.8873,Western Metropolitan,6543.0,13.439421252880514
10952,Yarraville,51 Sussex St,3,h,867000.0,S,RT,23/04/2016,7.0,3013.0,3.0,1.0,1.0,195.0,,,Maribyrnong City Council,-37.8198,144.8904,Western Metropolitan,6543.0,12.968611705977361
10953,Yarraville,9/11 Berry St,3,h,955000.0,S,Village,24/09/2016,7.0,3013.0,3.0,2.0,2.0,206.0,173.0,2006.0,Maribyrnong City Council,-37.8127,144.8965,Western Metropolitan,6543.0,12.628467090281795
10954,Yarraville,3 Freame St,3,h,1081000.0,SP,Village,24/09/2016,7.0,3013.0,3.0,1.0,1.0,448.0,104.0,1940.0,Maribyrnong City Council,-37.8171,144.8753,Western Metropolitan,6543.0,14.33118560598618
10955,Yarraville,443 Geelong Rd,3,h,725000.0,S,Sweeney,24/09/2016,7.0,3013.0,3.0,1.0,5.0,558.0,128.0,1940.0,Maribyrnong City Council,-37.8119,144.868,Western Metropolitan,6543.0,15.08274854151151
10956,Yarraville,43 Ballarat St,2,h,767000.0,S,Jas,25/02/2017,7.0,3013.0,2.0,1.0,0.0,128.0,80.0,1920.0,Maribyrnong City Council,-37.8179,144.8908,Western Metropolitan,6543.0,12.977536984594003
10958,Yarraville,42 Eirene St,2,h,951000.0,S,Sweeney,25/02/2017,7.0,3013.0,2.0,1.0,3.0,486.0,,,Maribyrnong City Council,-37.8214,144.8796,Western Metropolitan,6543.0,13.87034099017221
10959,Yarraville,14 Finlay St,4,h,1028000.0,S,Village,25/02/2017,7.0,3013.0,4.0,2.0,2.0,431.0,,,Maribyrnong City Council,-37.8186,144.8764,Western Metropolitan,6543.0,14.203725018822873
10960,Yarraville,112 Francis St,2,h,740000.0,S,Village,25/02/2017,7.0,3013.0,2.0,1.0,0.0,261.0,,,Maribyrnong City Council,-37.8209,144.8896,Western Metropolitan,6543.0,13.014207285993436
10961,Yarraville,20 Grace St,3,h,1450000.0,S,Village,25/02/2017,7.0,3013.0,3.0,2.0,2.0,542.0,211.0,2016.0,Maribyrnong City Council,-37.811,144.8844,Western Metropolitan,6543.0,13.706186761102707
10962,Yarraville,23 Lennox St,3,h,1430000.0,SP,Village,25/02/2017,7.0,3013.0,3.0,3.0,2.0,386.0,172.0,1940.0,Maribyrnong City Council,-37.816,144.8936,Western Metropolitan,6543.0,12.78439886671408
10963,Yarraville,38 Simpson St,3,h,1275000.0,SP,Village,25/02/2017,7.0,3013.0,3.0,1.0,2.0,229.0,128.0,1910.0,Maribyrnong City Council,-37.8172,144.8919,Western Metropolitan,6543.0,12.899894442279521
10964,Yarraville,122 Blackwood St,4,h,1606000.0,SP,Jas,26/07/2016,7.0,3013.0,4.0,2.0,3.0,455.0,178.0,1890.0,Maribyrnong City Council,-37.8177,144.8839,Western Metropolitan,6543.0,13.576202771135968
10965,Yarraville,75 Ballard St,4,h,970000.0,PI,Village,27/06/2016,7.0,3013.0,3.0,1.0,2.0,664.0,,1960.0,Maribyrnong City Council,-37.8172,144.8676,Western Metropolitan,6543.0,14.993969163893318
10967,Yarraville,38 Benbow St,2,h,780000.0,S,Hunter,27/06/2016,7.0,3013.0,2.0,1.0,1.0,435.0,114.0,1950.0,Maribyrnong City Council,-37.8223,144.8779,Western Metropolitan,6543.0,14.001135437559757
10969,Yarraville,76 Kidman St,3,h,670000.0,PI,Biggin,27/06/2016,7.0,3013.0,3.0,1.0,1.0,463.0,119.0,1950.0,Maribyrnong City Council,-37.8137,144.8636,Western Metropolitan,6543.0,15.416928913814681
10970,Yarraville,46 Wilson St,3,h,908000.0,S,hockingstuart,27/06/2016,7.0,3013.0,3.0,2.0,0.0,105.0,,1900.0,Maribyrnong City Council,-37.8191,144.8909,Western Metropolitan,6543.0,12.94109455590174
10971,Yarraville,23 Castlemaine St,3,h,1380000.0,S,Village,27/11/2016,7.0,3013.0,3.0,2.0,2.0,235.0,144.0,1910.0,Maribyrnong City Council,-37.815,144.8928,Western Metropolitan,6543.0,12.8791351615176
10972,Yarraville,5 Highgate St,3,h,966000.0,S,JMRE,27/11/2016,7.0,3013.0,3.0,2.0,2.0,456.0,,1970.0,Maribyrnong City Council,-37.823,144.8768,Western Metropolitan,6543.0,14.08428744978703
10974,Yarraville,3/64 Powell St,2,u,480500.0,SP,Jas,27/11/2016,7.0,3013.0,2.0,1.0,1.0,0.0,65.0,1970.0,Maribyrnong City Council,-37.8182,144.8846,Western Metropolitan,6543.0,13.50451890037859
10975,Yarraville,4 Regent St,4,h,1520000.0,VB,Jas,27/11/2016,7.0,3013.0,4.0,2.0,0.0,261.0,160.0,1910.0,Maribyrnong City Council,-37.8123,144.8888,Western Metropolitan,6543.0,13.294671361128499
10976,Yarraville,18 Tenterden St,3,h,845000.0,S,Jas,27/11/2016,7.0,3013.0,3.0,1.0,2.0,494.0,,,Maribyrnong City Council,-37.8234,144.8742,Western Metropolitan,6543.0,14.303615153321443
10977,Yarraville,10 Tuppen St,5,h,1287000.0,S,hockingstuart,27/11/2016,7.0,3013.0,5.0,2.0,2.0,488.0,213.0,1930.0,Maribyrnong City Council,-37.8131,144.8778,Western Metropolitan,6543.0,14.212343807876707
10979,Yarraville,4 Bena St,3,h,980000.0,S,Jas,28/05/2016,7.0,3013.0,3.0,1.0,2.0,463.0,,,Maribyrnong City Council,-37.8185,144.8812,Western Metropolitan,6543.0,13.791200938631247
10980,Yarraville,16/11 Berry St,3,t,800000.0,VB,Jas,28/05/2016,7.0,3013.0,3.0,2.0,1.0,169.0,150.0,2007.0,Maribyrnong City Council,-37.8122,144.8965,Western Metropolitan,6543.0,12.643306542301309
10982,Yarraville,30 Simpson St,3,h,1460000.0,SP,Village,28/05/2016,7.0,3013.0,3.0,1.0,2.0,463.0,119.0,1900.0,Maribyrnong City Council,-37.8172,144.8924,Western Metropolitan,6543.0,12.856962646986737
10985,Yarraville,7 Hughes St,3,h,840000.0,S,Village,28/08/2016,7.0,3013.0,4.0,1.0,1.0,470.0,127.0,1970.0,Maribyrnong City Council,-37.821999999999996,144.8904,Western Metropolitan,6543.0,12.922555569883443
10986,Yarraville,46 Kingston St,3,h,900500.0,S,Village,28/08/2016,7.0,3013.0,2.0,1.0,1.0,208.0,100.0,1970.0,Maribyrnong City Council,-37.8145,144.8804,Western Metropolitan,6543.0,13.953858649342067
10987,Yarraville,14 Pearce St,2,h,850000.0,S,Chisholm,28/08/2016,7.0,3013.0,2.0,1.0,1.0,201.0,,,Maribyrnong City Council,-37.8196,144.8836,Western Metropolitan,6543.0,13.56024481452573
10988,Yarraville,6/37 Stephen St,3,h,940000.0,S,Village,28/08/2016,7.0,3013.0,3.0,2.0,2.0,171.0,146.0,2007.0,Maribyrnong City Council,-37.8124,144.8957,Western Metropolitan,6543.0,12.705229044751384
10990,Aberfeldie,2/2 St Kinnord St,1,u,380000.0,S,Nelson,3/12/2016,9.1,3040.0,1.0,1.0,1.0,0.0,39.0,1990.0,Moonee Valley City Council,-37.7561,144.9028,Western Metropolitan,1543.0,15.094227757087733
10991,Aberfeldie,40 Clifton St,4,h,1646000.0,S,Rendina,4/03/2017,9.1,3040.0,4.0,3.0,2.0,757.0,157.0,1950.0,Moonee Valley City Council,-37.7606,144.8909,Western Metropolitan,1543.0,15.618366933347842
10993,Aberfeldie,6/8 Arthur St,2,u,442000.0,S,Nelson,7/05/2016,9.1,3040.0,2.0,1.0,1.0,0.0,,,Moonee Valley City Council,-37.7589,144.89700000000002,Western Metropolitan,1543.0,15.299842745098648
10994,Aberfeldie,8/257 Buckley St,2,u,470000.0,S,Brad,7/05/2016,9.1,3040.0,2.0,1.0,1.0,976.0,71.0,2000.0,Moonee Valley City Council,-37.7557,144.9037,Western Metropolitan,1543.0,15.061735678907306
10995,Aberfeldie,26a Fawkner St,3,h,760000.0,SP,McDonald,7/11/2016,9.1,3040.0,3.0,1.0,1.0,321.0,,1940.0,Moonee Valley City Council,-37.757,144.89600000000002,Western Metropolitan,1543.0,15.498626619066277
10996,Aberfeldie,21 May St,4,h,1346000.0,S,Nelson,8/10/2016,9.1,3040.0,2.0,2.0,2.0,559.0,204.0,1995.0,Moonee Valley City Council,-37.7614,144.8925,Western Metropolitan,1543.0,15.452079261336712
10997,Aberfeldie,25 Valencia St,2,h,1300000.0,S,Rendina,8/10/2016,9.1,3040.0,3.0,1.0,5.0,528.0,,,Moonee Valley City Council,-37.7617,144.8987,Western Metropolitan,1543.0,14.992506157777624
10998,Aberfeldie,2/30 Caroline St,3,t,935000.0,SP,Nelson,10/09/2016,9.1,3040.0,3.0,2.0,2.0,217.0,149.0,2005.0,Moonee Valley City Council,-37.7591,144.8923,Western Metropolitan,1543.0,15.617044581924457
11001,Aberfeldie,126 The Boulevard,4,h,3900000.0,S,Nelson,10/12/2016,9.1,3040.0,4.0,4.0,4.0,670.0,375.0,2010.0,Moonee Valley City Council,-37.7637,144.8931,Western Metropolitan,1543.0,15.260792683438915
11002,Aberfeldie,3/64 Brunel St,3,u,1160000.0,S,Nelson,11/02/2017,9.1,3040.0,3.0,2.0,1.0,309.0,,2007.0,Moonee Valley City Council,-37.7642,144.895,Western Metropolitan,1543.0,15.092058856954884
11003,Aberfeldie,2 May St,4,h,1150000.0,PI,Nelson,11/02/2017,9.1,3040.0,4.0,2.0,2.0,578.0,35.0,2010.0,Moonee Valley City Council,-37.7614,144.8953,Western Metropolitan,1543.0,15.252727239409404
11004,Aberfeldie,5 Aroona Ct,1,h,1720000.0,PI,Nelson,15/10/2016,9.1,3040.0,3.0,2.0,1.0,676.0,136.0,1965.0,Moonee Valley City Council,-37.7632,144.898,Western Metropolitan,1543.0,14.94270087039268
11005,Aberfeldie,25 Beaver St,2,h,1705000.0,S,Nelson,15/10/2016,9.1,3040.0,2.0,1.0,2.0,809.0,131.0,1980.0,Moonee Valley City Council,-37.7587,144.9015,Western Metropolitan,1543.0,15.00117466004421
11006,Aberfeldie,4 Brunel Ct,3,h,1190000.0,S,Barry,17/09/2016,9.1,3040.0,3.0,1.0,1.0,465.0,115.0,1950.0,Moonee Valley City Council,-37.7626,144.8954,Western Metropolitan,1543.0,15.166991643710324
11007,Aberfeldie,2/7 Fawkner St,2,u,380000.0,VB,Brad,18/03/2017,9.1,3040.0,2.0,1.0,1.0,622.0,,1970.0,Moonee Valley City Council,-37.7557,144.8966,Western Metropolitan,1543.0,15.546380679940107
11008,Aberfeldie,58 Waverley St,2,h,840000.0,VB,Brad,18/03/2017,9.1,3040.0,2.0,1.0,1.0,373.0,,,Moonee Valley City Council,-37.7604,144.9062,Western Metropolitan,1543.0,14.560059364827177
11009,Aberfeldie,29 Beaver St,5,h,1740000.0,S,Nelson,18/06/2016,9.1,3040.0,3.0,3.0,2.0,839.0,247.0,1925.0,Moonee Valley City Council,-37.759,144.9015,Western Metropolitan,1543.0,14.980456844021383
11010,Aberfeldie,40 Allan St,3,h,1860000.0,S,Rendina,19/11/2016,9.1,3040.0,3.0,2.0,2.0,311.0,,,Moonee Valley City Council,-37.7603,144.8921,Western Metropolitan,1543.0,15.55232387583789
11011,Aberfeldie,14 Knight St,3,h,1195000.0,S,Nelson,19/11/2016,9.1,3040.0,3.0,2.0,2.0,496.0,,,Moonee Valley City Council,-37.7559,144.8991,Western Metropolitan,1543.0,15.360610089947889
11012,Aberfeldie,2 May St,4,h,1200000.0,VB,Nelson,19/11/2016,9.1,3040.0,4.0,2.0,2.0,578.0,35.0,2010.0,Moonee Valley City Council,-37.7614,144.8953,Western Metropolitan,1543.0,15.252727239409404
11015,Aberfeldie,1 Chisholm St,3,u,726000.0,S,Barry,24/09/2016,9.1,3040.0,3.0,1.0,1.0,229.0,111.0,1996.0,Moonee Valley City Council,-37.7606,144.8973,Western Metropolitan,1543.0,15.164500784404508
11016,Aberfeldie,99 Fawkner St,4,h,1325000.0,PI,Weda,25/02/2017,9.1,3040.0,4.0,2.0,2.0,674.0,,,Moonee Valley City Council,-37.7617,144.8956,Western Metropolitan,1543.0,15.211700277936544
11017,Aberfeldie,11 Muldowney St,3,t,1300000.0,SP,Barry,25/02/2017,9.1,3040.0,3.0,3.0,1.0,593.0,205.0,2016.0,Moonee Valley City Council,-37.7584,144.8968,Western Metropolitan,1543.0,15.34766761455624
11019,Aberfeldie,5/319 Buckley St,2,u,373000.0,S,Barry,27/11/2016,9.1,3040.0,2.0,1.0,1.0,0.0,,,Moonee Valley City Council,-37.7553,144.8996,Western Metropolitan,1543.0,15.368404960359669
11020,Aberfeldie,1/7 Derry St,2,h,670000.0,SP,Frank,27/11/2016,9.1,3040.0,2.0,1.0,2.0,0.0,103.0,1990.0,Moonee Valley City Council,-37.76,144.9002,Western Metropolitan,1543.0,15.00204695745964
11021,Aberfeldie,13 Batman St,5,h,2400000.0,S,Barry,28/05/2016,9.1,3040.0,3.0,2.0,2.0,1315.0,,,Moonee Valley City Council,-37.7548,144.8915,Western Metropolitan,1543.0,15.9615654920743
11022,Aberfeldie,47 Clifton St,4,h,1350000.0,S,Nelson,28/05/2016,9.1,3040.0,3.0,2.0,2.0,1076.0,180.0,1960.0,Moonee Valley City Council,-37.7609,144.8905,Western Metropolitan,1543.0,15.627555229943459
11025,Bellfield,20 Davidson St,3,h,773000.0,S,Nelson,6/08/2016,9.5,3081.0,3.0,1.0,2.0,626.0,93.0,1955.0,Banyule City Council,-37.751999999999995,145.0367,Eastern Metropolitan,790.0,10.080587735663874
11027,Bellfield,40 Plunkett St,3,h,885000.0,S,Nelson,12/11/2016,9.5,3081.0,3.0,1.0,1.0,666.0,,,Banyule City Council,-37.7509,145.0423,Eastern Metropolitan,790.0,10.222526575110681
11028,Bellfield,8 Erica Ct,3,h,770000.0,S,Haughton,16/04/2016,9.5,3081.0,3.0,1.0,4.0,762.0,,1960.0,Banyule City Council,-37.7529,145.0406,Eastern Metropolitan,790.0,9.992280352201542
11031,Bellfield,353 Waterdale Rd,2,h,855000.0,S,Barry,18/03/2017,9.5,3081.0,2.0,1.0,0.0,693.0,,,Banyule City Council,-37.7534,145.0454,Eastern Metropolitan,790.0,9.967421923750319
11033,Bellfield,305 Bell St,3,h,645000.0,SP,Nelson,22/05/2016,9.5,3081.0,3.0,1.0,2.0,631.0,109.0,1950.0,Banyule City Council,-37.7506,145.043,Eastern Metropolitan,790.0,10.259894885873338
11035,Bellfield,2/2 Harrison St,3,h,720000.0,SP,McGrath,25/02/2017,9.5,3081.0,3.0,2.0,1.0,231.0,145.0,2012.0,Banyule City Council,-37.7527,145.0392,Eastern Metropolitan,790.0,10.00895069231394
11036,Bellfield,129 Liberty Pde,3,h,625000.0,PI,Nelson,28/05/2016,9.5,3081.0,3.0,1.0,2.0,609.0,93.0,1950.0,Banyule City Council,-37.7504,145.0335,Eastern Metropolitan,790.0,10.257497940191369
11037,Bellfield,371 Waterdale Rd,3,u,828000.0,S,Barry,30/07/2016,9.5,3081.0,3.0,1.0,0.0,641.0,,,Banyule City Council,-37.7518,145.0457,Eastern Metropolitan,790.0,10.146705909979856
11038,Bellfield,373 Waterdale Rd,3,u,676000.0,S,Barry,30/07/2016,9.5,3081.0,3.0,1.0,0.0,605.0,,,Banyule City Council,-37.7516,145.0457,Eastern Metropolitan,790.0,10.168805574941018
11039,Brunswick East,10 Harrison St,3,h,1310000.0,S,Nelson,3/12/2016,4.5,3057.0,3.0,1.0,2.0,456.0,144.0,1950.0,Moreland City Council,-37.7638,144.9804,Northern Metropolitan,5533.0,9.994101112519107
11040,Brunswick East,1 Nunan St,4,h,856000.0,S,Harrington,3/12/2016,4.5,3057.0,4.0,2.0,2.0,136.0,151.0,1997.0,Moreland City Council,-37.7601,144.9805,Northern Metropolitan,5533.0,10.352307704470967
11043,Brunswick East,2/175 Blyth St,2,h,580000.0,S,Nelson,4/03/2017,4.5,3057.0,2.0,1.0,1.0,0.0,65.0,1975.0,Moreland City Council,-37.7668,144.9765,Northern Metropolitan,5533.0,9.877370746566726
11044,Brunswick East,1610/182 Edward St,2,u,675000.0,S,Nelson,4/03/2017,4.5,3057.0,2.0,2.0,1.0,0.0,,,Moreland City Council,-37.7753,144.9725,Northern Metropolitan,5533.0,9.288351186595643
11046,Brunswick East,87 Hickford St,3,h,1350000.0,SP,Jellis,4/03/2017,4.5,3057.0,3.0,1.0,2.0,407.0,,,Moreland City Council,-37.7663,144.9795,Northern Metropolitan,5533.0,9.790691931272635
11047,Brunswick East,6 Kingfisher Gdns,3,t,940000.0,S,Nelson,4/03/2017,4.5,3057.0,3.0,1.0,2.0,213.0,116.0,1995.0,Moreland City Council,-37.7643,144.9808,Northern Metropolitan,5533.0,9.928502499779741
11048,Brunswick East,256 Stewart St,3,h,930000.0,PI,Nelson,4/03/2017,4.5,3057.0,3.0,2.0,2.0,138.0,,,Moreland City Council,-37.7658,144.9823,Northern Metropolitan,5533.0,9.71911598076561
11049,Brunswick East,215 Weston St,3,h,1495000.0,S,Nelson,4/03/2017,4.5,3057.0,3.0,1.0,1.0,259.0,130.0,1920.0,Moreland City Council,-37.7762,144.9755,Northern Metropolitan,5533.0,9.052947149848443
11051,Brunswick East,55 King St,4,h,1550000.0,S,Woodards,4/06/2016,4.5,3057.0,4.0,2.0,2.0,470.0,191.0,1940.0,Moreland City Council,-37.7735,144.9833,Northern Metropolitan,5533.0,8.931533934451874
11052,Brunswick East,94 Barkly St,4,h,1815000.0,S,Nelson,6/08/2016,4.5,3057.0,4.0,1.0,1.0,233.0,204.0,1890.0,Moreland City Council,-37.7776,144.9727,Northern Metropolitan,5533.0,9.07297963357666
11054,Brunswick East,9 John St,4,h,1625000.0,S,Nelson,7/05/2016,4.5,3057.0,4.0,2.0,2.0,822.0,145.0,1890.0,Moreland City Council,-37.7749,144.9762,Northern Metropolitan,5533.0,9.136212537116537
11055,Brunswick East,21 Roberts St,3,t,899000.0,SP,Jellis,7/05/2016,4.5,3057.0,3.0,2.0,1.0,116.0,124.0,2007.0,Moreland City Council,-37.7667,144.9821,Northern Metropolitan,5533.0,9.639840369455946
11059,Brunswick East,201/218 Lygon St,2,u,435000.0,S,Jellis,8/10/2016,4.5,3057.0,2.0,1.0,1.0,197.0,55.0,2012.0,Moreland City Council,-37.7717,144.9719,Northern Metropolitan,5533.0,9.643935935357048
11060,Brunswick East,8/389 Lygon St,2,u,570000.0,PI,Jellis,8/10/2016,4.5,3057.0,2.0,2.0,1.0,0.0,,,Moreland City Council,-37.7656,144.9726,Northern Metropolitan,5533.0,10.172240717914093
11061,Brunswick East,98 Barkly St,4,h,1900000.0,S,Jellis,10/09/2016,4.5,3057.0,4.0,2.0,1.0,227.0,,,Moreland City Council,-37.7776,144.9726,Northern Metropolitan,5533.0,9.078292324072732
11062,Brunswick East,178 Weston St,2,h,1080000.0,S,Greg,10/09/2016,4.5,3057.0,2.0,1.0,0.0,193.0,101.0,1890.0,Moreland City Council,-37.7765,144.9751,Northern Metropolitan,5533.0,9.04620308023509
11063,Brunswick East,123 Barkly St,4,h,1280000.0,S,Nelson,10/12/2016,4.5,3057.0,4.0,2.0,0.0,161.0,,,Moreland City Council,-37.7772,144.9723,Northern Metropolitan,5533.0,9.129645601752141
11064,Brunswick East,4/37 Brunswick Rd,2,u,656000.0,S,Collins,10/12/2016,4.5,3057.0,2.0,1.0,1.0,0.0,79.0,1960.0,Moreland City Council,-37.7786,144.9753,Northern Metropolitan,5533.0,8.847113588598916
11065,Brunswick East,308/69 Lygon St,2,u,570000.0,PI,Nelson,11/02/2017,4.5,3057.0,2.0,1.0,2.0,1188.0,,2012.0,Moreland City Council,-37.7769,144.9706,Northern Metropolitan,5533.0,9.247033168692225
11066,Brunswick East,18 Lowan St,4,h,1290000.0,S,Jellis,11/03/2017,4.5,3057.0,4.0,2.0,2.0,468.0,,,Moreland City Council,-37.7724,144.9829,Northern Metropolitan,5533.0,9.054662475673036
11069,Brunswick East,202b Edward St,3,h,1170000.0,S,Nelson,15/10/2016,4.5,3057.0,3.0,2.0,0.0,185.0,,1998.0,Moreland City Council,-37.7755,144.9744,Northern Metropolitan,5533.0,9.172378088592644
11070,Brunswick East,221/408 Lygon St,1,u,370000.0,VB,Nelson,15/10/2016,4.5,3057.0,1.0,1.0,1.0,0.0,,,Moreland City Council,-37.765,144.9731,Northern Metropolitan,5533.0,10.204894749643184
11071,Brunswick East,2/146 Blyth St,2,u,510000.0,S,Nelson,16/04/2016,4.5,3057.0,2.0,1.0,1.0,0.0,,,Moreland City Council,-37.7671,144.9746,Northern Metropolitan,5533.0,9.937234268689764
11072,Brunswick East,89a Hickford St,3,h,1574000.0,S,Woodards,16/04/2016,4.5,3057.0,3.0,3.0,2.0,336.0,207.0,2007.0,Moreland City Council,-37.7664,144.9797,Northern Metropolitan,5533.0,9.772302509218084
11073,Brunswick East,3/37 Brunswick Rd,2,u,665000.0,S,Collins,16/07/2016,4.5,3057.0,2.0,1.0,1.0,0.0,96.0,1940.0,Moreland City Council,-37.7786,144.9753,Northern Metropolitan,5533.0,8.847113588598916
11074,Brunswick East,6212/172 Edward St,2,u,590000.0,VB,LITTLE,17/09/2016,4.5,3057.0,2.0,2.0,1.0,0.0,71.0,2014.0,Moreland City Council,-37.7753,144.9725,Northern Metropolitan,5533.0,9.288351186595643
